scenario,model,endpoint,n_seeds,before,after,change,change_ci_low,change_ci_high,n_seeds_moved_in_expected_direction,expected_direction,uniform_entropy_reference_nats,correction
irregular_dt,ppo_cfc,critic_explained_variance,12,-0.000836,0.131154,0.131991,0.08471,0.19153,12,up,,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_cfc_dtblind,critic_explained_variance,12,-0.000158,0.135593,0.13575,0.095626,0.180712,12,up,,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_gru,critic_explained_variance,12,-0.003548,0.224438,0.227986,0.151411,0.317864,12,up,,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_ltc,critic_explained_variance,12,-6e-06,0.0,6e-06,-0.00022,0.000222,7,up,,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_ltc_cfc,critic_explained_variance,12,-6.7e-05,0.0,6.7e-05,-0.000162,0.000295,7,up,,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_mlp,critic_explained_variance,12,-0.001162,0.081798,0.08296,0.054508,0.113263,12,up,,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_transformer,critic_explained_variance,12,-0.002106,0.071976,0.074082,0.039298,0.114697,11,up,,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_cfc,eval_policy_entropy_nats,12,2.047855,0.718483,-1.329372,-1.411581,-1.249929,12,down,2.079442,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_cfc_dtblind,eval_policy_entropy_nats,12,2.046835,0.777637,-1.269198,-1.355011,-1.185584,12,down,2.079442,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_gru,eval_policy_entropy_nats,12,2.045718,1.078435,-0.967284,-1.084017,-0.842965,12,down,2.079442,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_ltc,eval_policy_entropy_nats,12,2.043397,0.536105,-1.507292,-1.692789,-1.296751,12,down,2.079442,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_ltc_cfc,eval_policy_entropy_nats,12,2.051301,0.57545,-1.475851,-1.671919,-1.276498,12,down,2.079442,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_mlp,eval_policy_entropy_nats,12,2.049522,0.590968,-1.458554,-1.536732,-1.370467,12,down,2.079442,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_transformer,eval_policy_entropy_nats,12,2.039582,0.975384,-1.064198,-1.188709,-0.938282,12,down,2.079442,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_cfc,rollout_policy_entropy_nats,12,2.047986,0.723881,-1.324105,-1.400988,-1.243257,12,down,2.079442,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_cfc_dtblind,rollout_policy_entropy_nats,12,2.047031,0.761702,-1.285329,-1.374998,-1.188236,12,down,2.079442,"none -- descriptive endpoint, never tested"
irregular_dt,ppo_gru,rollout_policy_entropy_nats,12,2.045873,1.01696,-1.028913,-1.156839,-0.898658,12,down,2.079442,"none -- descriptive endpoint, never tested"
