comparison_id,family,scenario,label_a,label_b,n_pairs,mean_a,mean_b,mean_difference,ci_low,ci_high,ci_level,p_value,p_method,holm_adjusted_p,significant,cliffs_delta,cliffs_delta_magnitude,verdict,interval_contains_zero,description
F10_replication_vs_greedy:ppo_cfc_dtblind_vs_greedy_heuristic:stationary,F10_replication_vs_greedy,stationary,ppo_cfc_dtblind,greedy_heuristic,12,-30.336481,19.781153,-50.117633,-54.01996,-46.436807,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_cfc_dtblind scored 50.118 lower than greedy_heuristic on stationary (95% CI [-54.020, -46.437], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F10_replication_vs_greedy:ppo_cfc_vs_greedy_heuristic:stationary,F10_replication_vs_greedy,stationary,ppo_cfc,greedy_heuristic,12,-24.977287,19.781153,-44.75844,-47.582638,-41.516773,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_cfc scored 44.758 lower than greedy_heuristic on stationary (95% CI [-47.583, -41.517], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F10_replication_vs_greedy:ppo_gru_vs_greedy_heuristic:stationary,F10_replication_vs_greedy,stationary,ppo_gru,greedy_heuristic,12,-33.712423,19.781153,-53.493576,-59.052957,-48.822781,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_gru scored 53.494 lower than greedy_heuristic on stationary (95% CI [-59.053, -48.823], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F10_replication_vs_greedy:ppo_ltc_cfc_vs_greedy_heuristic:stationary,F10_replication_vs_greedy,stationary,ppo_ltc_cfc,greedy_heuristic,12,-51.450616,19.781153,-71.231769,-73.299043,-69.154865,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_ltc_cfc scored 71.232 lower than greedy_heuristic on stationary (95% CI [-73.299, -69.155], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F10_replication_vs_greedy:ppo_ltc_vs_greedy_heuristic:stationary,F10_replication_vs_greedy,stationary,ppo_ltc,greedy_heuristic,12,-52.046566,19.781153,-71.827718,-74.266635,-69.415152,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_ltc scored 71.828 lower than greedy_heuristic on stationary (95% CI [-74.267, -69.415], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F10_replication_vs_greedy:ppo_mlp_vs_greedy_heuristic:stationary,F10_replication_vs_greedy,stationary,ppo_mlp,greedy_heuristic,12,-26.275231,19.781153,-46.056383,-49.97696,-41.987795,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_mlp scored 46.056 lower than greedy_heuristic on stationary (95% CI [-49.977, -41.988], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
F10_replication_vs_greedy:ppo_transformer_vs_greedy_heuristic:stationary,F10_replication_vs_greedy,stationary,ppo_transformer,greedy_heuristic,12,-31.614015,19.781153,-51.395167,-56.380292,-46.904726,0.95,0.000488,exact_sign_flip,0.003418,True,-1.0,large,favours_b,False,"ppo_transformer scored 51.395 lower than greedy_heuristic on stationary (95% CI [-56.380, -46.905], p=0.000 (exact_sign_flip), n=12, Cliff's delta -1.000 [large])."
P1,F1_primary,irregular_dt,ppo_cfc,ppo_cfc_dtblind,12,-27.233834,-27.708113,0.474278,-5.184406,5.897774,0.95,0.858887,exact_sign_flip,0.858887,False,0.027778,negligible,no_detectable_difference,True,"ppo_cfc vs ppo_cfc_dtblind on irregular_dt: no detectable difference (mean difference 0.474, 95% CI [-5.184, 5.898], p=0.859 (exact_sign_flip), n=12)."
F2_learning_check:ppo_cfc:trained_vs_untrained:irregular_dt,F2_learning_check,irregular_dt,ppo_cfc(trained),ppo_cfc(untrained),12,-27.233834,-46.663674,19.429839,14.923462,24.056745,0.95,0.000488,exact_sign_flip,0.003418,True,1.0,large,favours_a,False,"ppo_cfc(trained) scored 19.430 higher than ppo_cfc(untrained) on irregular_dt (95% CI [14.923, 24.057], p=0.000 (exact_sign_flip), n=12, Cliff's delta 1.000 [large])."
F2_learning_check:ppo_cfc_dtblind:trained_vs_untrained:irregular_dt,F2_learning_check,irregular_dt,ppo_cfc_dtblind(trained),ppo_cfc_dtblind(untrained),12,-27.708113,-52.124269,24.416156,20.892337,27.675204,0.95,0.000488,exact_sign_flip,0.003418,True,1.0,large,favours_a,False,"ppo_cfc_dtblind(trained) scored 24.416 higher than ppo_cfc_dtblind(untrained) on irregular_dt (95% CI [20.892, 27.675], p=0.000 (exact_sign_flip), n=12, Cliff's delta 1.000 [large])."
