scenario,model,trainable,n_seeds,mean_eval_return_untrained,mean_eval_return_trained,mean_improvement,std_improvement,ci_low,ci_high,p_value,holm_adjusted_p,significant,verdict,learned
irregular_dt,constant_channel,False,12,-51.449694,-51.449694,0.0,0.0,,,,,,not_applicable,
irregular_dt,greedy_heuristic,False,12,21.077417,21.077417,0.0,0.0,,,,,,not_applicable,
irregular_dt,ppo_cfc,True,12,-46.663674,-27.233834,19.429839,8.405063,14.923462,24.056745,0.000488,0.003418,True,favours_a,True
irregular_dt,ppo_cfc_dtblind,True,12,-52.124269,-27.708113,24.416156,6.268652,20.892337,27.675204,0.000488,0.003418,True,favours_a,True
irregular_dt,ppo_gru,True,12,-51.860937,-34.783379,17.077559,11.422949,10.444321,22.698778,0.001465,0.004395,True,favours_a,True
irregular_dt,ppo_ltc,True,12,-51.207563,-49.658275,1.549287,6.971588,-2.22625,5.234326,0.457031,0.914062,False,no_detectable_difference,False
irregular_dt,ppo_ltc_cfc,True,12,-50.918765,-50.318939,0.599827,9.43068,-4.505819,5.674581,0.835938,0.914062,False,no_detectable_difference,False
irregular_dt,ppo_mlp,True,12,-50.801148,-26.667245,24.133903,6.719272,20.509337,27.714007,0.000488,0.003418,True,favours_a,True
irregular_dt,ppo_transformer,True,12,-53.748127,-34.924021,18.824106,11.169284,12.272587,24.248768,0.000977,0.003906,True,favours_a,True
irregular_dt,random_policy,False,12,-50.815931,-50.815931,0.0,0.0,,,,,,not_applicable,
stationary,constant_channel,False,12,-51.46129,-51.46129,0.0,0.0,,,,,,not_applicable,
stationary,greedy_heuristic,False,12,19.781153,19.781153,0.0,0.0,,,,,,not_applicable,
stationary,ppo_cfc,True,12,-49.493862,-24.977287,24.516575,9.011752,20.145637,29.832273,0.000488,0.003418,True,favours_a,True
stationary,ppo_cfc_dtblind,True,12,-50.43476,-30.336481,20.09828,7.020709,16.143175,23.841644,0.000488,0.003418,True,favours_a,True
stationary,ppo_gru,True,12,-49.107929,-33.712423,15.395506,8.781444,10.702651,20.137864,0.000977,0.003418,True,favours_a,True
stationary,ppo_ltc,True,12,-50.577064,-52.046566,-1.469502,4.20288,-3.840201,0.714874,0.259766,0.417969,False,no_detectable_difference,False
stationary,ppo_ltc_cfc,True,12,-49.807062,-51.450616,-1.643554,4.24467,-3.897055,0.740687,0.208984,0.417969,False,no_detectable_difference,False
stationary,ppo_mlp,True,12,-50.023883,-26.275231,23.748652,6.195499,20.41449,27.054292,0.000488,0.003418,True,favours_a,True
stationary,ppo_transformer,True,12,-52.229704,-31.614015,20.61569,9.378351,15.349352,25.472591,0.000488,0.003418,True,favours_a,True
stationary,random_policy,False,12,-50.902177,-50.902177,0.0,0.0,,,,,,not_applicable,
