scenario,model,n_seeds,mean_eval_return,mean_eval_return_std,mean_eval_return_sem,mean_eval_return_ci_low,mean_eval_return_ci_high,mean_eval_return_untrained,mean_eval_return_untrained_std,mean_eval_return_untrained_sem,mean_eval_return_untrained_ci_low,mean_eval_return_untrained_ci_high,mean_eval_return_trained,mean_eval_return_trained_std,mean_eval_return_trained_sem,mean_eval_return_trained_ci_low,mean_eval_return_trained_ci_high,mean_success_rate,mean_success_rate_std,mean_success_rate_sem,mean_success_rate_ci_low,mean_success_rate_ci_high,mean_collision_rate,mean_collision_rate_std,mean_collision_rate_sem,mean_collision_rate_ci_low,mean_collision_rate_ci_high,mean_spectrum_utilization,mean_spectrum_utilization_std,mean_spectrum_utilization_sem,mean_spectrum_utilization_ci_low,mean_spectrum_utilization_ci_high,mean_policy_entropy_nats,mean_policy_entropy_nats_std,mean_policy_entropy_nats_sem,mean_policy_entropy_nats_ci_low,mean_policy_entropy_nats_ci_high,mean_action_histogram_entropy,mean_action_histogram_entropy_std,mean_action_histogram_entropy_sem,mean_action_histogram_entropy_ci_low,mean_action_histogram_entropy_ci_high,rank_in_scenario
irregular_dt,greedy_heuristic,12,21.077417,2.594212,0.748884,19.60013,22.389793,21.077417,2.594212,0.748884,19.612604,22.39558,21.077417,2.594212,0.748884,19.578146,22.403503,0.72819,0.015389,0.004442,0.719198,0.735758,0.27181,0.015389,0.004442,0.264323,0.280924,0.379435,0.008505,0.002455,0.374914,0.38405,0.0,0.0,0.0,0.0,0.0,1.784602,0.023589,0.00681,1.7715,1.797152,1
irregular_dt,ppo_mlp,12,-26.667245,6.044329,1.744848,-29.992473,-23.368957,-50.801148,6.176973,1.783139,-54.037683,-47.367987,-26.667245,6.044329,1.744848,-30.004616,-23.38807,0.499674,0.036958,0.010669,0.479655,0.52002,0.500326,0.036958,0.010669,0.479898,0.520224,0.211809,0.015742,0.004544,0.203012,0.219924,0.590968,0.155393,0.044858,0.513603,0.679821,0.711662,0.161569,0.046641,0.626419,0.800892,2
irregular_dt,ppo_cfc,12,-27.233834,5.910448,1.706199,-30.362902,-23.958317,-46.663674,5.266034,1.520173,-49.666985,-44.006555,-27.233834,5.910448,1.706199,-30.38389,-23.989323,0.49764,0.037081,0.010704,0.477783,0.518107,0.50236,0.037081,0.010704,0.482055,0.522461,0.210175,0.014505,0.004187,0.202312,0.218095,0.718483,0.14551,0.042005,0.6395,0.797345,0.761239,0.131316,0.037908,0.691008,0.834131,3
irregular_dt,ppo_cfc_dtblind,12,-27.708113,4.957573,1.431128,-30.297449,-24.917899,-52.124269,4.677297,1.350219,-54.5432,-49.497645,-27.708113,4.957573,1.431128,-30.24167,-24.948011,0.494588,0.03016,0.008706,0.47884,0.511393,0.505412,0.03016,0.008706,0.48881,0.521404,0.208507,0.014088,0.004067,0.200942,0.2162,0.777637,0.166437,0.048046,0.685604,0.866166,0.755726,0.162938,0.047036,0.667595,0.84584,4
irregular_dt,ppo_gru,12,-34.783379,8.270474,2.38748,-39.377832,-30.459023,-51.860937,6.069615,1.752147,-54.645997,-48.230082,-34.783379,8.270474,2.38748,-39.295901,-30.437731,0.449137,0.049201,0.014203,0.422241,0.475179,0.550863,0.049201,0.014203,0.525472,0.577922,0.189347,0.02149,0.006204,0.177789,0.200887,1.078435,0.221202,0.063856,0.962897,1.204098,0.606045,0.157082,0.045346,0.518756,0.689473,5
irregular_dt,ppo_transformer,12,-34.924021,8.118781,2.34369,-39.757887,-30.928413,-53.748127,5.238227,1.512146,-56.578924,-50.926781,-34.924021,8.118781,2.34369,-39.631904,-30.931179,0.449178,0.048296,0.013942,0.421305,0.47286,0.550822,0.048296,0.013942,0.527181,0.579549,0.188843,0.021985,0.006347,0.176325,0.2001,0.975384,0.235701,0.068041,0.850161,1.103231,0.635562,0.264851,0.076456,0.488321,0.77477,6
irregular_dt,ppo_ltc,12,-49.658275,3.219973,0.929526,-51.306928,-47.833713,-51.207563,6.552859,1.891648,-54.681815,-47.585034,-49.658275,3.219973,0.929526,-51.330727,-47.841494,0.359009,0.017623,0.005087,0.349325,0.368693,0.640991,0.017623,0.005087,0.631429,0.650757,0.152136,0.008473,0.002446,0.148027,0.15707,0.536105,0.371112,0.107131,0.3479,0.747982,0.0,0.0,0.0,0.0,0.0,7
irregular_dt,ppo_ltc_cfc,12,-50.318939,6.377345,1.840981,-53.988269,-47.060417,-50.918765,4.777356,1.379104,-53.617865,-48.490774,-50.318939,6.377345,1.840981,-53.930994,-47.058202,0.355265,0.035136,0.010143,0.335815,0.373698,0.644735,0.035136,0.010143,0.626628,0.664469,0.150513,0.017626,0.005088,0.140648,0.159639,0.57545,0.358119,0.10338,0.383449,0.770485,0.0,0.0,0.0,0.0,0.0,8
irregular_dt,random_policy,12,-50.815931,1.556577,0.449345,-51.685828,-50.005643,-50.815931,1.556577,0.449345,-51.690703,-50.014256,-50.815931,1.556577,0.449345,-51.688098,-50.012829,0.354533,0.009642,0.002783,0.34904,0.359334,0.645467,0.009642,0.002783,0.640666,0.651082,0.148909,0.004366,0.00126,0.146591,0.151304,0.0,0.0,0.0,0.0,0.0,2.022427,0.005582,0.001611,2.019364,2.025403,9
irregular_dt,constant_channel,12,-51.449694,4.458083,1.286938,-53.794776,-48.995035,-51.449694,4.458083,1.286938,-53.816037,-49.0288,-51.449694,4.458083,1.286938,-53.820435,-48.95634,0.350749,0.024687,0.007127,0.337931,0.364339,0.649251,0.024687,0.007127,0.635376,0.66211,0.147866,0.012916,0.003728,0.140871,0.154883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
