comparison_id,family,scenario,label_a,label_b,n_pairs,mean_a,mean_b,mean_difference,ci_low,ci_high,ci_level,p_value,p_method,holm_adjusted_p,significant,cliffs_delta,cliffs_delta_magnitude,verdict,interval_contains_zero,description
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_cfc:bursty_irregular,F3_hybrid_decomposition,bursty_irregular,ppo_ltc_cfc,ppo_cfc,12,-68.606837,-67.19314,-1.413697,-5.14253,1.61238,0.95,0.542969,exact_sign_flip,1.0,False,-0.083333,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_cfc on bursty_irregular: no detectable difference (mean difference -1.414, 95% CI [-5.143, 1.612], p=0.543 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:bursty_irregular,F3_hybrid_decomposition,bursty_irregular,ppo_ltc_cfc,ppo_ltc,12,-68.606837,-69.383842,0.777004,-1.797225,3.305623,0.95,0.566406,exact_sign_flip,1.0,False,0.034722,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on bursty_irregular: no detectable difference (mean difference 0.777, 95% CI [-1.797, 3.306], p=0.566 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_cfc:interference_heavy,F3_hybrid_decomposition,interference_heavy,ppo_ltc_cfc,ppo_cfc,12,-89.48131,-87.870247,-1.611063,-4.38322,0.851227,0.95,0.293945,exact_sign_flip,1.0,False,-0.138889,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_cfc on interference_heavy: no detectable difference (mean difference -1.611, 95% CI [-4.383, 0.851], p=0.294 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:interference_heavy,F3_hybrid_decomposition,interference_heavy,ppo_ltc_cfc,ppo_ltc,12,-89.48131,-88.128323,-1.352987,-4.446715,2.023913,0.95,0.452148,exact_sign_flip,1.0,False,-0.229167,small,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on interference_heavy: no detectable difference (mean difference -1.353, 95% CI [-4.447, 2.024], p=0.452 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_cfc:irregular_dt,F3_hybrid_decomposition,irregular_dt,ppo_ltc_cfc,ppo_cfc,12,-50.459529,-50.828057,0.368528,-3.856235,4.325564,0.95,0.876465,exact_sign_flip,1.0,False,0.055556,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_cfc on irregular_dt: no detectable difference (mean difference 0.369, 95% CI [-3.856, 4.326], p=0.876 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:irregular_dt,F3_hybrid_decomposition,irregular_dt,ppo_ltc_cfc,ppo_ltc,12,-50.459529,-49.41069,-1.048839,-5.801158,3.22244,0.95,0.692383,exact_sign_flip,1.0,False,-0.090278,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on irregular_dt: no detectable difference (mean difference -1.049, 95% CI [-5.801, 3.222], p=0.692 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_cfc:non_stationary,F3_hybrid_decomposition,non_stationary,ppo_ltc_cfc,ppo_cfc,12,-62.952071,-62.194105,-0.757966,-3.639148,1.903139,0.95,0.619141,exact_sign_flip,1.0,False,-0.097222,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_cfc on non_stationary: no detectable difference (mean difference -0.758, 95% CI [-3.639, 1.903], p=0.619 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:non_stationary,F3_hybrid_decomposition,non_stationary,ppo_ltc_cfc,ppo_ltc,12,-62.952071,-63.484967,0.532896,-1.57758,2.551285,0.95,0.631836,exact_sign_flip,1.0,False,0.131944,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on non_stationary: no detectable difference (mean difference 0.533, 95% CI [-1.578, 2.551], p=0.632 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_cfc:stationary,F3_hybrid_decomposition,stationary,ppo_ltc_cfc,ppo_cfc,12,-51.611391,-52.801576,1.190185,-2.236434,4.433266,0.95,0.516602,exact_sign_flip,1.0,False,0.215278,small,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_cfc on stationary: no detectable difference (mean difference 1.190, 95% CI [-2.236, 4.433], p=0.517 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:stationary,F3_hybrid_decomposition,stationary,ppo_ltc_cfc,ppo_ltc,12,-51.611391,-51.054816,-0.556575,-2.697246,1.67684,0.95,0.638672,exact_sign_flip,1.0,False,-0.0625,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on stationary: no detectable difference (mean difference -0.557, 95% CI [-2.697, 1.677], p=0.639 (exact_sign_flip), n=12)."
