comparison_id,family,scenario,label_a,label_b,n_pairs,mean_a,mean_b,mean_difference,ci_low,ci_high,ci_level,p_value,p_method,holm_adjusted_p,significant,cliffs_delta,cliffs_delta_magnitude,verdict,interval_contains_zero,description
P1,F1_primary,irregular_dt,ppo_cfc,ppo_cfc_dtblind,12,-50.828057,-50.820827,-0.00723,-3.869318,3.979725,0.95,0.998047,exact_sign_flip,0.998047,False,0.104167,negligible,no_detectable_difference,True,"ppo_cfc vs ppo_cfc_dtblind on irregular_dt: no detectable difference (mean difference -0.007, 95% CI [-3.869, 3.980], p=0.998 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_cfc_vs_ppo_gru:bursty_irregular,F2_continuous_vs_gated,bursty_irregular,ppo_cfc,ppo_gru,12,-67.19314,-67.805427,0.612287,-2.887744,3.762423,0.95,0.695312,exact_sign_flip,1.0,False,0.055556,negligible,no_detectable_difference,True,"ppo_cfc vs ppo_gru on bursty_irregular: no detectable difference (mean difference 0.612, 95% CI [-2.888, 3.762], p=0.695 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_ltc_cfc_vs_ppo_gru:bursty_irregular,F2_continuous_vs_gated,bursty_irregular,ppo_ltc_cfc,ppo_gru,12,-68.606837,-67.805427,-0.80141,-4.125087,2.164969,0.95,0.662109,exact_sign_flip,1.0,False,-0.097222,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_gru on bursty_irregular: no detectable difference (mean difference -0.801, 95% CI [-4.125, 2.165], p=0.662 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_ltc_vs_ppo_gru:bursty_irregular,F2_continuous_vs_gated,bursty_irregular,ppo_ltc,ppo_gru,12,-69.383842,-67.805427,-1.578415,-4.762969,1.03061,0.95,0.388672,exact_sign_flip,1.0,False,-0.298611,small,no_detectable_difference,True,"ppo_ltc vs ppo_gru on bursty_irregular: no detectable difference (mean difference -1.578, 95% CI [-4.763, 1.031], p=0.389 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_cfc_vs_ppo_gru:interference_heavy,F2_continuous_vs_gated,interference_heavy,ppo_cfc,ppo_gru,12,-87.870247,-87.640604,-0.229643,-2.830989,2.2725,0.95,0.864746,exact_sign_flip,1.0,False,-0.097222,negligible,no_detectable_difference,True,"ppo_cfc vs ppo_gru on interference_heavy: no detectable difference (mean difference -0.230, 95% CI [-2.831, 2.272], p=0.865 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_ltc_cfc_vs_ppo_gru:interference_heavy,F2_continuous_vs_gated,interference_heavy,ppo_ltc_cfc,ppo_gru,12,-89.48131,-87.640604,-1.840705,-4.423104,1.101072,0.95,0.242188,exact_sign_flip,1.0,False,-0.236111,small,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_gru on interference_heavy: no detectable difference (mean difference -1.841, 95% CI [-4.423, 1.101], p=0.242 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_ltc_vs_ppo_gru:interference_heavy,F2_continuous_vs_gated,interference_heavy,ppo_ltc,ppo_gru,12,-88.128323,-87.640604,-0.487718,-4.542918,3.281261,0.95,0.826172,exact_sign_flip,1.0,False,-0.034722,negligible,no_detectable_difference,True,"ppo_ltc vs ppo_gru on interference_heavy: no detectable difference (mean difference -0.488, 95% CI [-4.543, 3.281], p=0.826 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_cfc_vs_ppo_gru:irregular_dt,F2_continuous_vs_gated,irregular_dt,ppo_cfc,ppo_gru,12,-50.828057,-51.723982,0.895925,-2.859993,4.378813,0.95,0.643555,exact_sign_flip,1.0,False,0.222222,small,no_detectable_difference,True,"ppo_cfc vs ppo_gru on irregular_dt: no detectable difference (mean difference 0.896, 95% CI [-2.860, 4.379], p=0.644 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_ltc_cfc_vs_ppo_gru:irregular_dt,F2_continuous_vs_gated,irregular_dt,ppo_ltc_cfc,ppo_gru,12,-50.459529,-51.723982,1.264452,-4.192782,5.921027,0.95,0.654297,exact_sign_flip,1.0,False,0.201389,small,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_gru on irregular_dt: no detectable difference (mean difference 1.264, 95% CI [-4.193, 5.921], p=0.654 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_ltc_vs_ppo_gru:irregular_dt,F2_continuous_vs_gated,irregular_dt,ppo_ltc,ppo_gru,12,-49.41069,-51.723982,2.313291,-2.886012,6.676251,0.95,0.389648,exact_sign_flip,1.0,False,0.25,small,no_detectable_difference,True,"ppo_ltc vs ppo_gru on irregular_dt: no detectable difference (mean difference 2.313, 95% CI [-2.886, 6.676], p=0.390 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_cfc_vs_ppo_gru:non_stationary,F2_continuous_vs_gated,non_stationary,ppo_cfc,ppo_gru,12,-62.194105,-61.611685,-0.58242,-3.86314,2.322397,0.95,0.742188,exact_sign_flip,1.0,False,0.055556,negligible,no_detectable_difference,True,"ppo_cfc vs ppo_gru on non_stationary: no detectable difference (mean difference -0.582, 95% CI [-3.863, 2.322], p=0.742 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_ltc_cfc_vs_ppo_gru:non_stationary,F2_continuous_vs_gated,non_stationary,ppo_ltc_cfc,ppo_gru,12,-62.952071,-61.611685,-1.340386,-5.183232,2.291625,0.95,0.514648,exact_sign_flip,1.0,False,-0.006944,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_gru on non_stationary: no detectable difference (mean difference -1.340, 95% CI [-5.183, 2.292], p=0.515 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_ltc_vs_ppo_gru:non_stationary,F2_continuous_vs_gated,non_stationary,ppo_ltc,ppo_gru,12,-63.484967,-61.611685,-1.873282,-5.143017,1.112303,0.95,0.297852,exact_sign_flip,1.0,False,-0.118056,negligible,no_detectable_difference,True,"ppo_ltc vs ppo_gru on non_stationary: no detectable difference (mean difference -1.873, 95% CI [-5.143, 1.112], p=0.298 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_cfc_vs_ppo_gru:stationary,F2_continuous_vs_gated,stationary,ppo_cfc,ppo_gru,12,-52.801576,-52.972068,0.170491,-2.940862,2.991364,0.95,0.912109,exact_sign_flip,1.0,False,0.041667,negligible,no_detectable_difference,True,"ppo_cfc vs ppo_gru on stationary: no detectable difference (mean difference 0.170, 95% CI [-2.941, 2.991], p=0.912 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_ltc_cfc_vs_ppo_gru:stationary,F2_continuous_vs_gated,stationary,ppo_ltc_cfc,ppo_gru,12,-51.611391,-52.972068,1.360676,-1.314988,4.08576,0.95,0.361328,exact_sign_flip,1.0,False,0.201389,small,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_gru on stationary: no detectable difference (mean difference 1.361, 95% CI [-1.315, 4.086], p=0.361 (exact_sign_flip), n=12)."
F2_continuous_vs_gated:ppo_ltc_vs_ppo_gru:stationary,F2_continuous_vs_gated,stationary,ppo_ltc,ppo_gru,12,-51.054816,-52.972068,1.917252,-0.689812,4.717003,0.95,0.215332,exact_sign_flip,1.0,False,0.361111,medium,no_detectable_difference,True,"ppo_ltc vs ppo_gru on stationary: no detectable difference (mean difference 1.917, 95% CI [-0.690, 4.717], p=0.215 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_cfc:bursty_irregular,F3_hybrid_decomposition,bursty_irregular,ppo_ltc_cfc,ppo_cfc,12,-68.606837,-67.19314,-1.413697,-5.14253,1.61238,0.95,0.542969,exact_sign_flip,1.0,False,-0.083333,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_cfc on bursty_irregular: no detectable difference (mean difference -1.414, 95% CI [-5.143, 1.612], p=0.543 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:bursty_irregular,F3_hybrid_decomposition,bursty_irregular,ppo_ltc_cfc,ppo_ltc,12,-68.606837,-69.383842,0.777004,-1.797225,3.305623,0.95,0.566406,exact_sign_flip,1.0,False,0.034722,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on bursty_irregular: no detectable difference (mean difference 0.777, 95% CI [-1.797, 3.306], p=0.566 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_cfc:interference_heavy,F3_hybrid_decomposition,interference_heavy,ppo_ltc_cfc,ppo_cfc,12,-89.48131,-87.870247,-1.611063,-4.38322,0.851227,0.95,0.293945,exact_sign_flip,1.0,False,-0.138889,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_cfc on interference_heavy: no detectable difference (mean difference -1.611, 95% CI [-4.383, 0.851], p=0.294 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:interference_heavy,F3_hybrid_decomposition,interference_heavy,ppo_ltc_cfc,ppo_ltc,12,-89.48131,-88.128323,-1.352987,-4.446715,2.023913,0.95,0.452148,exact_sign_flip,1.0,False,-0.229167,small,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on interference_heavy: no detectable difference (mean difference -1.353, 95% CI [-4.447, 2.024], p=0.452 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_cfc:irregular_dt,F3_hybrid_decomposition,irregular_dt,ppo_ltc_cfc,ppo_cfc,12,-50.459529,-50.828057,0.368528,-3.856235,4.325564,0.95,0.876465,exact_sign_flip,1.0,False,0.055556,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_cfc on irregular_dt: no detectable difference (mean difference 0.369, 95% CI [-3.856, 4.326], p=0.876 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:irregular_dt,F3_hybrid_decomposition,irregular_dt,ppo_ltc_cfc,ppo_ltc,12,-50.459529,-49.41069,-1.048839,-5.801158,3.22244,0.95,0.692383,exact_sign_flip,1.0,False,-0.090278,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on irregular_dt: no detectable difference (mean difference -1.049, 95% CI [-5.801, 3.222], p=0.692 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_cfc:non_stationary,F3_hybrid_decomposition,non_stationary,ppo_ltc_cfc,ppo_cfc,12,-62.952071,-62.194105,-0.757966,-3.639148,1.903139,0.95,0.619141,exact_sign_flip,1.0,False,-0.097222,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_cfc on non_stationary: no detectable difference (mean difference -0.758, 95% CI [-3.639, 1.903], p=0.619 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:non_stationary,F3_hybrid_decomposition,non_stationary,ppo_ltc_cfc,ppo_ltc,12,-62.952071,-63.484967,0.532896,-1.57758,2.551285,0.95,0.631836,exact_sign_flip,1.0,False,0.131944,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on non_stationary: no detectable difference (mean difference 0.533, 95% CI [-1.578, 2.551], p=0.632 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_cfc:stationary,F3_hybrid_decomposition,stationary,ppo_ltc_cfc,ppo_cfc,12,-51.611391,-52.801576,1.190185,-2.236434,4.433266,0.95,0.516602,exact_sign_flip,1.0,False,0.215278,small,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_cfc on stationary: no detectable difference (mean difference 1.190, 95% CI [-2.236, 4.433], p=0.517 (exact_sign_flip), n=12)."
F3_hybrid_decomposition:ppo_ltc_cfc_vs_ppo_ltc:stationary,F3_hybrid_decomposition,stationary,ppo_ltc_cfc,ppo_ltc,12,-51.611391,-51.054816,-0.556575,-2.697246,1.67684,0.95,0.638672,exact_sign_flip,1.0,False,-0.0625,negligible,no_detectable_difference,True,"ppo_ltc_cfc vs ppo_ltc on stationary: no detectable difference (mean difference -0.557, 95% CI [-2.697, 1.677], p=0.639 (exact_sign_flip), n=12)."
