scenario,model,trainable,n_seeds,mean_eval_return_untrained,mean_eval_return_trained,mean_improvement,std_improvement,ci_low,ci_high,p_value,holm_adjusted_p,significant,verdict,learned
bursty_irregular,constant_channel,False,12,-71.163282,-71.163282,0.0,0.0,,,,,,not_applicable,
bursty_irregular,greedy_heuristic,False,12,4.285261,4.285261,0.0,0.0,,,,,,not_applicable,
bursty_irregular,ppo_cfc,True,12,-65.853234,-67.19314,-1.339906,4.939345,-4.021978,1.288712,0.366699,1.0,False,no_detectable_difference,False
bursty_irregular,ppo_cfc_dtblind,True,12,-68.291406,-69.770118,-1.478712,7.004492,-5.39245,2.095118,0.473633,1.0,False,no_detectable_difference,False
bursty_irregular,ppo_gru,True,12,-68.506436,-67.805427,0.701009,3.39671,-1.192744,2.503432,0.487305,1.0,False,no_detectable_difference,False
bursty_irregular,ppo_ltc,True,12,-69.722682,-69.383842,0.33884,5.116939,-2.601247,2.908803,0.765625,1.0,False,no_detectable_difference,False
bursty_irregular,ppo_ltc_cfc,True,12,-70.996392,-68.606837,2.389555,5.068046,-0.283603,5.129065,0.134766,1.0,False,no_detectable_difference,False
bursty_irregular,ppo_mlp,True,12,-69.593432,-67.158596,2.434836,3.778586,0.294457,4.343306,0.052246,1.0,False,no_detectable_difference,False
bursty_irregular,ppo_transformer,True,12,-70.21944,-68.582513,1.636927,6.527542,-1.522191,5.568526,0.459961,1.0,False,no_detectable_difference,False
bursty_irregular,random_policy,False,12,-70.000995,-70.000995,0.0,0.0,,,,,,not_applicable,
interference_heavy,constant_channel,False,12,-88.365947,-88.365947,0.0,0.0,,,,,,not_applicable,
interference_heavy,greedy_heuristic,False,12,-21.375314,-21.375314,0.0,0.0,,,,,,not_applicable,
interference_heavy,ppo_cfc,True,12,-88.197295,-87.870247,0.327048,6.313473,-3.119628,3.711583,0.858398,1.0,False,no_detectable_difference,False
interference_heavy,ppo_cfc_dtblind,True,12,-87.845643,-88.956494,-1.110851,5.361883,-3.904299,1.853618,0.480469,1.0,False,no_detectable_difference,False
interference_heavy,ppo_gru,True,12,-88.042654,-87.640604,0.402049,6.509258,-3.088623,3.908316,0.834961,1.0,False,no_detectable_difference,False
interference_heavy,ppo_ltc,True,12,-88.84657,-88.128323,0.718247,3.468869,-1.340753,2.434166,0.53125,1.0,False,no_detectable_difference,False
interference_heavy,ppo_ltc_cfc,True,12,-87.602019,-89.48131,-1.87929,4.767872,-4.538459,0.641382,0.191406,1.0,False,no_detectable_difference,False
interference_heavy,ppo_mlp,True,12,-88.664661,-88.882575,-0.217914,7.168232,-4.230332,3.434919,0.918945,1.0,False,no_detectable_difference,False
interference_heavy,ppo_transformer,True,12,-92.209084,-89.848074,2.36101,4.36277,-0.063591,4.636307,0.089844,1.0,False,no_detectable_difference,False
interference_heavy,random_policy,False,12,-89.299057,-89.299057,0.0,0.0,,,,,,not_applicable,
irregular_dt,constant_channel,False,12,-51.449694,-51.449694,0.0,0.0,,,,,,not_applicable,
irregular_dt,greedy_heuristic,False,12,21.077417,21.077417,0.0,0.0,,,,,,not_applicable,
