scenario,model,n_seeds,mean_eval_return,mean_eval_return_std,mean_eval_return_sem,mean_eval_return_ci_low,mean_eval_return_ci_high,mean_eval_return_untrained,mean_eval_return_untrained_std,mean_eval_return_untrained_sem,mean_eval_return_untrained_ci_low,mean_eval_return_untrained_ci_high,mean_eval_return_trained,mean_eval_return_trained_std,mean_eval_return_trained_sem,mean_eval_return_trained_ci_low,mean_eval_return_trained_ci_high,mean_success_rate,mean_success_rate_std,mean_success_rate_sem,mean_success_rate_ci_low,mean_success_rate_ci_high,mean_collision_rate,mean_collision_rate_std,mean_collision_rate_sem,mean_collision_rate_ci_low,mean_collision_rate_ci_high,mean_spectrum_utilization,mean_spectrum_utilization_std,mean_spectrum_utilization_sem,mean_spectrum_utilization_ci_low,mean_spectrum_utilization_ci_high,mean_policy_entropy_nats,mean_policy_entropy_nats_std,mean_policy_entropy_nats_sem,mean_policy_entropy_nats_ci_low,mean_policy_entropy_nats_ci_high,mean_action_histogram_entropy,mean_action_histogram_entropy_std,mean_action_histogram_entropy_sem,mean_action_histogram_entropy_ci_low,mean_action_histogram_entropy_ci_high,rank_in_scenario
bursty_irregular,greedy_heuristic,12,4.285261,3.425532,0.988866,2.430164,6.107767,4.285261,3.425532,0.988866,2.411374,6.100806,4.285261,3.425532,0.988866,2.425548,6.139248,0.675334,0.018587,0.005366,0.664998,0.68514,0.324666,0.018587,0.005366,0.314819,0.334961,0.299619,0.010402,0.003003,0.293998,0.305121,0.0,0.0,0.0,0.0,0.0,1.802614,0.026211,0.007566,1.788881,1.817342,1
bursty_irregular,ppo_mlp,12,-67.158596,2.654477,0.766282,-68.554102,-65.634573,-69.593432,4.16006,1.200906,-71.657944,-67.202232,-67.158596,2.654477,0.766282,-68.51986,-65.678113,0.288534,0.013728,0.003963,0.281494,0.296266,0.711466,0.013728,0.003963,0.703776,0.718506,0.116144,0.006814,0.001967,0.112568,0.119884,1.954806,0.057519,0.016604,1.921899,1.983967,0.004573,0.010353,0.002989,0.0,0.010688,2
bursty_irregular,ppo_cfc,12,-67.19314,5.31519,1.534363,-69.967558,-64.237575,-65.853234,5.190631,1.498406,-68.735002,-63.145525,-67.19314,5.31519,1.534363,-69.941743,-64.243977,0.288534,0.027689,0.007993,0.274211,0.304403,0.711466,0.027689,0.007993,0.695881,0.72575,0.115485,0.012962,0.003742,0.108802,0.122712,1.98086,0.053069,0.01532,1.952056,2.009349,0.061174,0.186412,0.053813,0.0,0.170108,3
bursty_irregular,ppo_gru,12,-67.805427,3.803207,1.097891,-69.789368,-65.690714,-68.506436,4.938744,1.425693,-71.331615,-66.003094,-67.805427,3.803207,1.097891,-69.779568,-65.700526,0.283529,0.020259,0.005848,0.273193,0.294963,0.716471,0.020259,0.005848,0.704997,0.726929,0.113866,0.008759,0.002529,0.109262,0.11869,1.974746,0.063023,0.018193,1.93665,2.00291,0.10804,0.237598,0.068589,0.000838,0.258307,4
bursty_irregular,ppo_transformer,12,-68.582513,3.51889,1.015816,-70.328028,-66.52476,-70.21944,4.520065,1.30483,-72.791812,-67.901531,-68.582513,3.51889,1.015816,-70.334173,-66.529568,0.279297,0.018694,0.005397,0.269857,0.289918,0.720703,0.018694,0.005397,0.710082,0.730143,0.112777,0.007958,0.002297,0.108665,0.117255,1.959737,0.111915,0.032307,1.890712,2.007654,0.10174,0.22028,0.063589,0.001563,0.235603,5
bursty_irregular,ppo_ltc_cfc,12,-68.606837,4.143918,1.196246,-70.86548,-66.357053,-70.996392,4.628175,1.336039,-73.475239,-68.441313,-68.606837,4.143918,1.196246,-70.871802,-66.404922,0.280151,0.022159,0.006397,0.268026,0.292074,0.719849,0.022159,0.006397,0.708047,0.731935,0.111046,0.010313,0.002977,0.105386,0.116588,1.973078,0.045306,0.013079,1.947378,1.996507,0.006707,0.023234,0.006707,0.0,0.020121,6
bursty_irregular,ppo_ltc,12,-69.383842,3.010619,0.869091,-71.072565,-67.835218,-69.722682,4.213644,1.216374,-71.979989,-67.449643,-69.383842,3.010619,0.869091,-71.087312,-67.842739,0.275635,0.016368,0.004725,0.266235,0.284017,0.724365,0.016368,0.004725,0.716105,0.733765,0.109792,0.006817,0.001968,0.106003,0.113325,1.940676,0.071891,0.020753,1.898264,1.976432,0.0,0.0,0.0,0.0,0.0,7
bursty_irregular,ppo_cfc_dtblind,12,-69.770118,2.860933,0.82588,-71.271837,-68.236095,-68.291406,6.135166,1.77107,-71.5661,-64.90112,-69.770118,2.860933,0.82588,-71.304631,-68.217487,0.27242,0.015783,0.004556,0.263957,0.280924,0.72758,0.015783,0.004556,0.718994,0.736125,0.109187,0.006563,0.001895,0.10563,0.112707,1.966109,0.047631,0.01375,1.940356,1.991579,0.019916,0.043267,0.01249,0.0,0.045832,8
bursty_irregular,random_policy,12,-70.000995,1.641382,0.473826,-70.884994,-69.126107,-70.000995,1.641382,0.473826,-70.899493,-69.125106,-70.000995,1.641382,0.473826,-70.884005,-69.121543,0.27124,0.008903,0.00257,0.266357,0.276082,0.72876,0.008903,0.00257,0.723877,0.733683,0.108935,0.00414,0.001195,0.106532,0.111046,0.0,0.0,0.0,0.0,0.0,2.024296,0.005177,0.001494,2.02155,2.027223,9
bursty_irregular,constant_channel,12,-71.163282,3.703245,1.069035,-73.187947,-69.22622,-71.163282,3.703245,1.069035,-73.236649,-69.1924,-71.163282,3.703245,1.069035,-73.225382,-69.204312,0.263916,0.020367,0.00588,0.252481,0.274251,0.736084,0.020367,0.00588,0.725586,0.747437,0.106325,0.008011,0.002313,0.10186,0.110509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
