scenario,model,mean_mean_episode_reward,mean_mean_spectrum_utilization,mean_mean_collision_rate,mean_wall_clock_training_time,mean_parameter_count
stationary,greedy_heuristic,-83.27410124745221,0.07462307438254356,0.859375,,0.0
stationary,ppo_gru,-62.09037043098363,0.10098740248940885,0.71875,1.1257486690301448,36425.0
stationary,ppo_lfm,-69.90320631749927,0.08933278173208237,0.7734375,1.6912876949645579,78409.0
stationary,ppo_lstm,-54.94893039725722,0.12067250651307404,0.65625,1.0507980319671333,44745.0
stationary,ppo_ltc,-59.579068988934175,0.11705981637351215,0.71875,2.032087811967358,44809.0
stationary,ppo_ltc_lfm,-65.09338786713782,0.095991789130494,0.75,2.5963600139366463,78281.0
stationary,ppo_mlp,-43.243379581347135,0.14622198650613427,0.625,6.6800317340530455,56585.0
stationary,random_policy,-54.18187102563681,0.12774368445388973,0.6796875,,0.0
variable_dt,greedy_heuristic,-87.47190918149427,0.06590069970116019,0.875,,0.0
variable_dt,ppo_gru,-79.81144351735715,0.06484941858798265,0.828125,0.9914259070064873,36425.0
variable_dt,ppo_lfm,-78.93689155429603,0.06680323788896203,0.828125,1.971299958997406,78409.0
variable_dt,ppo_lstm,-58.656205107644226,0.12279494176618755,0.6875,0.9764165079686791,44745.0
variable_dt,ppo_ltc,-67.99894136898219,0.10796875809319317,0.765625,1.9082763829501346,44809.0
variable_dt,ppo_ltc_lfm,-73.29040771480649,0.09113480732776225,0.796875,2.971930642030202,78281.0
variable_dt,ppo_mlp,-58.656205107644226,0.12279494176618755,0.6875,0.7542164450278506,56585.0
variable_dt,random_policy,-66.67593695907854,0.10559343779459596,0.75,,0.0
