scenario,model,num_seeds,mean_parameter_count,std_parameter_count,mean_train_steps,std_train_steps,mean_wall_clock_training_time,std_wall_clock_training_time,mean_mean_background_fairness,std_mean_background_fairness,mean_std_background_fairness,std_std_background_fairness,mean_mean_collision_rate,std_mean_collision_rate,mean_std_collision_rate,std_std_collision_rate,mean_mean_episode_length,std_mean_episode_length,mean_std_episode_length,std_std_episode_length,mean_mean_episode_reward,std_mean_episode_reward,mean_std_episode_reward,std_std_episode_reward,mean_mean_mean_forward_time,std_mean_mean_forward_time,mean_std_mean_forward_time,std_std_mean_forward_time,mean_mean_policy_entropy,std_mean_policy_entropy,mean_std_policy_entropy,std_std_policy_entropy,mean_mean_spectrum_utilization,std_mean_spectrum_utilization,mean_std_spectrum_utilization,std_std_spectrum_utilization,mean_mean_steps,std_mean_steps,mean_std_steps,std_std_steps,mean_mean_success_rate,std_mean_success_rate,mean_std_success_rate,std_std_success_rate,mean_mean_wall_clock_episode_seconds,std_mean_wall_clock_episode_seconds,mean_std_wall_clock_episode_seconds,std_std_wall_clock_episode_seconds,mean_mean_wall_clock_proxy_time,std_mean_wall_clock_proxy_time,mean_std_wall_clock_proxy_time,std_std_wall_clock_proxy_time
stationary,ppo_gru,1,36425.0,0.0,256.0,0.0,1.0088001060066745,0.0,0.9986019730567932,0.0,0.0,0.0,0.71875,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-62.09037043098363,0.0,0.0,0.0,0.0010304627257937682,0.0,1.8055609871225897e-05,0.0,0.0,0.0,0.0,0.0,0.10098740248940885,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.0,0.08498728048289195,0.0,0.0011646465281955898,0.0,64.0,0.0,0.0,0.0
stationary,ppo_lfm,1,78409.0,0.0,256.0,0.0,1.6756589049473405,0.0,0.998897910118103,0.0,0.0,0.0,0.765625,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-68.69467208497224,0.0,0.0,0.0,0.0021288482148520416,0.0,0.00010193425987381488,0.0,0.13906079530715942,0.0,0.0,0.0,0.09210322634316981,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.234375,0.0,0.0,0.0,0.15991335350554436,0.0,0.008183011435903609,0.0,64.0,0.0,0.0,0.0
stationary,ppo_lstm,1,44745.0,0.0,256.0,0.0,1.08686653804034,0.0,0.9997575879096985,0.0,0.0,0.0,0.65625,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-54.08180079981686,0.0,0.0,0.0,0.0009575016492817667,0.0,7.921603355498519e-06,0.0,0.4060963988304138,0.0,0.0,0.0,0.12602730910293758,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.34375,0.0,0.0,0.0,0.08128823898732662,0.0,0.0006203419761732221,0.0,64.0,0.0,0.0,0.0
stationary,ppo_ltc,1,44809.0,0.0,256.0,0.0,1.90298371296376,0.0,0.9945797324180603,0.0,0.0,0.0,0.71875,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-59.579068988934175,0.0,0.0,0.0,0.0021950909786028205,0.0,7.928055310912896e-06,0.0,0.08048482984304428,0.0,0.0,0.0,0.11705981637351215,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.0,0.1592768674599938,0.0,0.0006651335279457271,0.0,64.0,0.0,0.0,0.0
stationary,ppo_ltc_lfm,1,78281.0,0.0,256.0,0.0,3.0337737529771402,0.0,0.9958341717720032,0.0,0.0,0.0,0.75,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-65.09338786713782,0.0,0.0,0.0,0.00364090092080005,0.0,3.972334525315091e-05,0.0,0.27416592836380005,0.0,0.0,0.0,0.095991789130494,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.26377255201805383,0.0,0.002328278962522745,0.0,64.0,0.0,0.0,0.0
stationary,ppo_mlp,1,56585.0,0.0,256.0,0.0,4.651050604996271,0.0,0.9978219866752625,0.0,0.0,0.0,0.671875,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-51.0964590419084,0.0,0.0,0.0,0.0006608265275644953,0.0,2.7149426387040876e-06,0.0,0.6690268516540527,0.0,0.0,0.0,0.14042012323625386,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.328125,0.0,0.0,0.0,0.06221088150050491,0.0,0.00020545348525047302,0.0,64.0,0.0,0.0,0.0
variable_dt,ppo_gru,1,36425.0,0.0,256.0,0.0,1.2760858159745112,0.0,0.9990502595901489,0.0,0.0,0.0,0.828125,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-79.81144351735715,0.0,0.0,0.0,0.0012000825654467917,0.0,2.1400653167802375e-05,0.0,0.0,0.0,0.0,0.0,0.06484941858798265,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.171875,0.0,0.0,0.0,0.10011396650224924,0.0,0.00168647151440382,0.0,105.23716074330466,0.0,0.0,0.0
variable_dt,ppo_lfm,1,78409.0,0.0,256.0,0.0,1.8036804909352213,0.0,0.9993626475334167,0.0,0.0,0.0,0.828125,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-79.13969849161805,0.0,0.0,0.0,0.0019324502036397462,0.0,5.768531082139816e-06,0.0,0.0,0.0,0.0,0.0,0.06680323788896203,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.171875,0.0,0.0,0.0,0.14649511297466233,0.0,0.00047603301936760545,0.0,105.23716074330466,0.0,0.0,0.0
variable_dt,ppo_lstm,1,44745.0,0.0,256.0,0.0,1.2530015970114619,0.0,0.9999426007270813,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-58.656205107644226,0.0,0.0,0.0,0.0012539666040538577,0.0,2.3958351448527537e-05,0.0,0.0,0.0,0.0,0.0,0.12279494176618755,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.10583963349927217,0.0,0.0018559294985607266,0.0,105.23716074330466,0.0,0.0,0.0
variable_dt,ppo_ltc,1,44809.0,0.0,256.0,0.0,2.10805509891361,0.0,0.9955339431762695,0.0,0.0,0.0,0.765625,0.0,0.0,0.0,64.0,0.0,0.0,0.0,-67.99528972916303,0.0,0.0,0.0,0.0027619961902018986,0.0,0.00018355334123043576,0.0,0.21904556453227997,0.0,0.0,0.0,0.10796875809319317,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.234375,0.0,0.0,0.0,0.2053417565766722,0.0,0.01413984247483313,0.0,105.23716074330466,0.0,0.0,0.0
