scenario,model,mean_mean_episode_reward,mean_mean_spectrum_utilization,mean_mean_collision_rate,mean_wall_clock_training_time,mean_parameter_count
stationary,ppo_gru,-62.09037043098363,0.10098740248940885,0.71875,1.0088001060066745,36425.0
stationary,ppo_lfm,-68.69467208497224,0.09210322634316981,0.765625,1.6756589049473405,78409.0
stationary,ppo_lstm,-54.08180079981686,0.12602730910293758,0.65625,1.08686653804034,44745.0
stationary,ppo_ltc,-59.579068988934175,0.11705981637351215,0.71875,1.90298371296376,44809.0
stationary,ppo_ltc_lfm,-65.09338786713782,0.095991789130494,0.75,3.0337737529771402,78281.0
stationary,ppo_mlp,-51.0964590419084,0.14042012323625386,0.671875,4.651050604996271,56585.0
variable_dt,ppo_gru,-79.81144351735715,0.06484941858798265,0.828125,1.2760858159745112,36425.0
variable_dt,ppo_lfm,-79.13969849161805,0.06680323788896203,0.828125,1.8036804909352213,78409.0
variable_dt,ppo_lstm,-58.656205107644226,0.12279494176618755,0.6875,1.2530015970114619,44745.0
variable_dt,ppo_ltc,-67.99528972916303,0.10796875809319317,0.765625,2.10805509891361,44809.0
variable_dt,ppo_ltc_lfm,-73.38886036109179,0.09113480732776225,0.796875,2.621034638956189,78281.0
variable_dt,ppo_mlp,-58.656205107644226,0.12279494176618755,0.6875,0.824841151945293,56585.0
